
  0%|                                                                                                                                   | 0/500 [00:00<?, ?it/s]
MindBrige_vae starting with epoch 0 / 500
>>> Epoch0 | Iter0 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter1 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter2 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter3 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter4 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter5 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter6 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter7 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter8 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter9 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter10 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter11 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter12 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter13 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter14 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter15 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter16 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter17 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter18 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter19 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter20 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter21 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter22 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter23 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter24 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter25 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter26 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter27 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter28 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter29 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter30 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter31 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter32 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter33 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter34 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter35 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter36 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter37 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter38 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter39 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter40 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter41 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter42 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter43 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter44 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter45 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter46 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter47 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter48 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter49 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter50 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter51 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter52 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter53 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter54 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter55 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter56 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter57 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter58 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter59 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter60 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter61 | voxel: torch.Size([120, 8192])
>>> Epoch0 | Iter62 | voxel: torch.Size([120, 8192])
